Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781592421,1000,,Aggregated,120.600000,97.100000,810,1000,1200,1400,4300,9200,12000,15000,21000,23000,23000,82732,65873,810,1743.6371649579276,4.383600000437582,23188.784300000407,895.1163636803171
1781592422,1000,,Aggregated,126.600000,102.200000,820,1000,1200,1400,4300,9200,12000,15000,21000,23000,23000,82908,66010,820,1749.7891368215285,4.383600000437582,23188.784300000407,894.2231268393882
1781592423,1000,,Aggregated,133.200000,107.700000,820,1000,1200,1400,4300,9200,13000,15000,21000,23000,23000,83102,66168,820,1755.5075936956919,4.383600000437582,23300.149800001236,893.129130466174
1781592424,1000,,Aggregated,139.000000,111.200000,820,1000,1200,1400,4300,9200,13000,15000,21000,23000,23000,83309,66337,820,1761.5441571762858,4.383600000437582,23398.34079999855,892.1307061662005
1781592425,1000,,Aggregated,144.400000,115.900000,820,1000,1200,1400,4300,9200,13000,15000,21000,23000,23000,83516,66507,820,1763.1841153359762,4.383600000437582,23398.34079999855,891.2977273815795
1781592426,1000,,Aggregated,153.100000,123.300000,820,1000,1200,1400,4400,9300,13000,16000,21000,23000,23000,83751,66688,820,1768.0227640840046,4.383600000437582,23398.34079999855,890.3884490931451
1781592427,1000,,Aggregated,161.500000,130.300000,820,1000,1200,1400,4400,9300,13000,16000,21000,23000,23000,83989,66872,820,1772.1014194787392,4.383600000437582,23398.34079999855,889.4455107216421
1781592428,1000,,Aggregated,170.300000,136.500000,820,1000,1200,1400,4400,9300,13000,16000,21000,23000,23000,84238,67066,820,1774.2025930090895,4.383600000437582,23398.34079999855,888.4818846601296
1781592429,1000,,Aggregated,180.800000,144.600000,820,1000,1200,1400,4300,9300,13000,16000,21000,23000,23000,84475,67254,820,1773.4527214252691,4.383600000437582,23398.34079999855,887.6095767978692
1781592430,1000,,Aggregated,190.900000,152.600000,820,1000,1200,1400,4300,9300,13000,16000,21000,23000,23000,84725,67454,820,1772.7371912316282,4.383600000437582,23398.34079999855,886.6999704927707
1781592431,1000,,Aggregated,202.600000,161.000000,820,1000,1200,1400,4300,9300,13000,16000,21000,23000,23000,84966,67634,820,1770.6586971623922,4.383600000437582,23398.34079999855,885.7181107737213
1781592432,1000,,Aggregated,214.300000,169.900000,820,1000,1200,1400,4300,9300,13000,16000,21000,23000,23000,85197,67818,820,1769.9865186626262,4.383600000437582,23398.34079999855,884.8607697454136
1781592433,1000,,Aggregated,219.600000,173.000000,820,1000,1200,1400,4300,9300,13000,16000,21000,23000,23000,85430,68006,820,1769.1168471134238,4.383600000437582,23398.34079999855,884.0027273791408
1781592434,1000,,Aggregated,225.400000,178.300000,820,1000,1200,1400,4200,9300,13000,16000,21000,23000,23000,85636,68167,820,1767.7210115278601,4.383600000437582,23398.34079999855,883.0952987061517
1781592435,1000,,Aggregated,230.400000,182.400000,820,1000,1200,1400,4200,9300,13000,16000,21000,23000,23000,85842,68335,820,1766.8876507700202,4.383600000437582,23398.34079999855,882.3404976584889
1781592436,1000,,Aggregated,232.500000,182.700000,820,1000,1200,1400,4200,9300,13000,16000,21000,23000,23000,86050,68500,820,1767.3810500650816,4.383600000437582,23398.34079999855,881.5823939570017
1781592437,1000,,Aggregated,231.600000,181.900000,820,1000,1200,1400,4200,9300,13000,16000,21000,23000,23000,86274,68683,820,1768.2322795917676,4.383600000437582,23398.34079999855,880.8558430117996
1781592438,1000,,Aggregated,230.100000,181.000000,820,1000,1200,1400,4200,9300,13000,16000,21000,23000,23000,86514,68875,820,1769.438539950762,4.383600000437582,23398.34079999855,879.9897935594239
1781592439,1000,,Aggregated,227.300000,179.600000,830,1000,1200,1400,4200,9300,13000,16000,21000,23000,23000,86746,69070,830,1771.903194911584,4.383600000437582,23398.34079999855,879.2817305697092
1781592440,1000,,Aggregated,226.800000,180.500000,830,1000,1200,1400,4200,9300,13000,16000,21000,23000,23000,87015,69292,830,1771.0458101959464,4.383600000437582,23398.34079999855,878.3735562833995
1781592441,1000,,Aggregated,226.900000,181.200000,830,1000,1200,1400,4200,9300,13000,16000,21000,23000,23000,87271,69501,830,1770.967025465508,4.383600000437582,23398.34079999855,877.5346564150749
1781592442,1000,,Aggregated,227.200000,182.500000,830,1000,1200,1400,4200,9300,13000,16000,21000,23000,23000,87537,69712,830,1770.0151840787382,4.383600000437582,23398.34079999855,876.5788066760341
1781592443,1000,,Aggregated,228.300000,184.500000,830,1000,1200,1400,4200,9300,13000,16000,21000,23000,23000,87781,69907,830,1768.1522075050455,4.383600000437582,23398.34079999855,875.7229354871783
1781592444,1000,,Aggregated,231.600000,186.700000,830,1000,1200,1400,4100,9300,13000,16000,21000,23000,23000,88025,70099,830,1765.9042373950622,4.383600000437582,23398.34079999855,874.8850326611758
1781592445,1000,,Aggregated,233.700000,188.600000,830,1000,1200,1400,4100,9300,13000,16000,21000,23000,23000,88280,70310,830,1763.5201897394697,4.383600000437582,23398.34079999855,874.0604553692796
1781592446,1000,,Aggregated,236.000000,191.200000,830,1000,1200,1400,4100,9300,13000,16000,21000,23000,23000,88535,70508,830,1762.1562041430007,4.383600000437582,23398.34079999855,873.1102388885752
1781592447,1000,,Aggregated,239.400000,193.900000,830,1000,1200,1400,4100,9300,13000,16000,21000,23000,23000,88799,70713,830,1759.7485980101183,4.383600000437582,23398.34079999855,872.1755312559826
1781592448,1000,,Aggregated,246.500000,199.300000,830,1000,1200,1400,4100,9200,13000,16000,21000,23000,23000,89042,70911,830,1757.963627480296,4.383600000437582,23398.34079999855,871.4240583095618
1781592449,1000,,Aggregated,249.500000,201.600000,830,1000,1200,1400,4100,9200,13000,16000,21000,23000,23000,89303,71121,830,1756.1505618949027,4.383600000437582,23398.34079999855,870.5199041465572
1781592450,1000,,Aggregated,251.200000,201.500000,830,1000,1200,1400,4100,9200,13000,16000,21000,23000,23000,89572,71333,830,1753.4980332302575,4.383600000437582,23398.34079999855,869.5923391238333
1781592451,1000,,Aggregated,252.800000,202.900000,830,1000,1200,1400,4100,9200,13000,16000,21000,23000,23000,89834,71546,830,1751.9229173931983,4.383600000437582,23398.34079999855,868.7908475632834
1781592452,1000,,Aggregated,253.800000,203.400000,830,1000,1200,1400,4100,9200,13000,16000,21000,23000,23000,90116,71758,830,1750.1200935982577,4.383600000437582,23398.34079999855,867.7490012872298
1781592453,1000,,Aggregated,255.600000,204.000000,830,1000,1200,1400,4000,9200,13000,16000,21000,23000,23000,90390,71981,830,1747.3853843245993,4.383600000437582,23398.34079999855,866.856875760593
1781592454,1000,,Aggregated,255.600000,203.500000,820,1000,1200,1400,4000,9200,13000,16000,21000,23000,23000,90651,72188,820,1744.794966700873,4.383600000437582,23398.34079999855,866.0363261298827
1781592455,1000,,Aggregated,258.100000,204.700000,820,1000,1200,1400,4000,9200,13000,16000,21000,23000,23000,90904,72389,820,1742.3494451289364,4.383600000437582,23398.34079999855,865.2213873976942
1781592456,1000,,Aggregated,259.700000,206.400000,820,1000,1200,1400,4000,9100,13000,16000,21000,23000,23000,91139,72571,820,1740.4522187395194,4.383600000437582,23398.34079999855,864.391599644499
1781592457,1000,,Aggregated,262.500000,208.200000,820,1000,1200,1400,4000,9100,13000,16000,21000,23000,23000,91372,72768,820,1738.591983184138,4.383600000437582,23398.34079999855,863.6211202556582
1781592458,1000,,Aggregated,259.900000,206.200000,820,1000,1200,1400,4000,9100,13000,16000,21000,23000,23000,91625,72970,820,1736.9468344873217,4.383600000437582,23398.34079999855,862.8202673942701
1781592459,1000,,Aggregated,257.300000,204.600000,830,1000,1200,1400,4000,9100,13000,16000,21000,23000,23000,91889,73166,830,1736.1861485488046,4.383600000437582,23398.34079999855,861.8963858568491
1781592460,1000,,Aggregated,257.900000,205.600000,830,1000,1200,1400,4000,9100,13000,16000,21000,23000,23000,92143,73371,830,1735.113724743073,4.383600000437582,23398.34079999855,861.1386214905093
1781592461,1000,,Aggregated,257.600000,204.700000,830,1000,1200,1400,4000,9100,13000,16000,21000,23000,23000,92400,73578,830,1733.5330886223028,4.383600000437582,23398.34079999855,860.4106277056277
1781592462,1000,,Aggregated,256.900000,202.700000,830,1000,1200,1400,4000,9100,13000,16000,21000,23000,23000,92634,73760,830,1732.0600966146399,4.383600000437582,23398.34079999855,859.5908629660815
1781592463,1000,,Aggregated,255.200000,202.400000,830,1000,1200,1400,3900,9100,13000,16000,21000,23000,23000,92899,73980,830,1730.0421786768457,4.383600000437582,23398.34079999855,858.8660157805789
1781592464,1000,,Aggregated,255.700000,203.400000,830,1000,1200,1400,3900,9100,13000,16000,21000,23000,23000,93174,74198,830,1728.3898049734921,4.383600000437582,23398.34079999855,857.9942258569987
1781592465,1000,,Aggregated,250.700000,199.800000,830,1000,1200,1400,3900,9100,13000,16000,21000,23000,23000,93436,74408,830,1727.4364719915245,4.383600000437582,23398.34079999855,857.2063337471639
1781592466,1000,,Aggregated,250.500000,200.000000,830,1000,1200,1400,3900,9000,13000,16000,21000,23000,23000,93651,74577,830,1725.1360446305998,4.383600000437582,23398.34079999855,856.2489775869985
1781592467,1000,,Aggregated,252.000000,200.900000,830,1000,1200,1400,3900,9000,13000,16000,21000,23000,23000,93845,74731,830,1724.027448150676,4.383600000437582,23398.34079999855,855.1110234961906
1781592468,1000,,Aggregated,252.200000,201.200000,830,1000,1200,1400,3900,9000,13000,16000,21000,23000,23000,94018,74865,830,1722.9720403635476,4.383600000437582,23398.34079999855,854.1316450041481
1781592469,1000,,Aggregated,249.500000,198.500000,830,1000,1200,1400,3900,9000,13000,16000,21000,23000,23000,94167,74978,830,1722.4641505580528,4.383600000437582,23398.34079999855,855.0441131181836
1781592470,1000,,Aggregated,243.700000,193.100000,830,1000,1200,1400,3900,9000,13000,16000,21000,23000,23000,94396,75169,830,1723.7580641891627,4.383600000437582,23398.34079999855,854.0669837704987
1781592471,1000,,Aggregated,233.900000,185.600000,830,1000,1200,1400,3900,9000,13000,16000,21000,23000,23000,94615,75346,830,1724.4547873138522,4.383600000437582,23398.34079999855,853.3414786238968
1781592472,1000,,Aggregated,225.900000,180.500000,830,1000,1200,1400,3900,9000,13000,16000,21000,23000,23000,94868,75553,830,1726.9329489258769,4.383600000437582,23398.34079999855,852.683412741915
1781592473,1000,,Aggregated,222.700000,177.900000,830,1000,1200,1400,3900,9000,13000,16000,21000,23000,23000,95132,75746,830,1726.7480741054558,4.383600000437582,23398.34079999855,851.7833116091326
1781592474,1000,,Aggregated,219.000000,175.200000,830,1000,1200,1400,3900,9000,13000,16000,21000,23000,23000,95387,75952,830,1725.3243161038758,4.383600000437582,23398.34079999855,851.0952540702611
